traffic_day_group,traffic_hour_bucket,traffic_context_key,traffic_speed_source_column,traffic_acceleration_source_column,traffic_speed_mean,traffic_speed_median,traffic_speed_std,traffic_acceleration_mean,traffic_slow_road_fraction,traffic_speed_major,traffic_speed_minor,traffic_speed_residential,traffic_speed_valid_segments,traffic_speed_missing_segments,traffic_acceleration_valid_segments,traffic_acceleration_missing_segments,traffic_slow_speed_threshold_mps
D1,H14.15,D1H14.15,v_D1H14.15,a_D1H14.15,11.20391114129185,11.04928444,4.508916287118782,0.1089114901658219,0.4040131101603743,14.61041907001998,12.418460948838066,10.05546495486121,39969,14311,39657,14623,10.0
D1,H16.18,D1H16.18,v_D1H16.18,a_D1H16.18,11.025140469634346,10.993769709999999,4.3045567563090605,0.11257532750236578,0.41347633071073797,14.296176471695707,12.282011773357148,10.086719958270177,45502,8778,45228,9052,10.0
D1,H19.22,D1H19.22,v_D1H19.22,a_D1H19.22,11.86766007208692,11.90728738,4.611508970385437,0.11408505448738923,0.33637286987924614,16.14971347570761,13.410421602688222,10.62726387709746,44305,9975,44010,10270,10.0
D2.3.4,H0.6,D2.3.4H0.6,v_D2.3.4H0.6,a_D2.3.4H0.6,13.17674375303484,13.332501515,4.876826059644649,0.1244652124783933,0.24244828998566456,16.937556654957078,14.348803095532007,11.93357037998,39064,15216,38738,15542,10.0
D2.3.4,H7.8,D2.3.4H7.8,v_D2.3.4H7.8,a_D2.3.4H7.8,11.370624788781384,11.28499842,4.3380549957512455,0.13179112388342823,0.37730367286761196,14.176834569599233,12.355697120700317,10.61392066763522,46122,8158,45843,8437,10.0
D2.3.4,H9.11,D2.3.4H9.11,v_D2.3.4H9.11,a_D2.3.4H9.11,11.501418701544976,11.3942381,4.346164302456393,0.11838696500855368,0.36921653948834376,14.88357203185933,12.718764704383243,10.619114657081981,47571,6709,47348,6932,10.0
D2.3.4,H12.13,D2.3.4H12.13,v_D2.3.4H12.13,a_D2.3.4H12.13,11.32792508886379,11.24377104,4.332907375116308,0.11277696153594885,0.38407938733685687,14.788094574734378,12.660364817666922,10.361177147804703,46355,7925,46135,8145,10.0
D2.3.4,H14.15,D2.3.4H14.15,v_D2.3.4H14.15,a_D2.3.4H14.15,10.951139728443636,10.84775641,4.203990010376001,0.11185773364304137,0.4232458466826505,14.355559344399488,12.27650563419841,10.018133314107933,47131,7149,46913,7367,10.0
D2.3.4,H16.18,D2.3.4H16.18,v_D2.3.4H16.18,a_D2.3.4H16.18,10.791838142020032,10.679843485,4.018071924436735,0.11558580276395729,0.43215379781635377,13.876273980665745,12.072013204680115,10.012865394192158,50924,3356,50762,3518,10.0
D2.3.4,H19.22,D2.3.4H19.22,v_D2.3.4H19.22,a_D2.3.4H19.22,11.525429025929013,11.45294567,4.222360353104864,0.1175586756781675,0.3630451490846028,15.941497956214835,13.29695021823232,10.42254240102612,50743,3537,50576,3704,10.0
D5,H0.6,D5H0.6,v_D5H0.6,a_D5H0.6,13.390845777478402,13.62865212,4.917781291914769,0.11875034542103849,0.2280118378612044,17.017820169105843,14.323352703444113,11.744426490086745,30073,24207,29755,24525,10.0
D5,H7.8,D5H7.8,v_D5H7.8,a_D5H7.8,11.830182562382111,11.814860815,4.6102289041319935,0.12260524027803368,0.33977800722767165,14.713738094890095,12.582899409046975,10.933336564136525,38740,15540,38427,15853,10.0
D5,H9.11,D5H9.11,v_D5H9.11,a_D5H9.11,11.649210192863483,11.62626263,4.50550462114735,0.11059454004299563,0.35743109393724476,14.972566170684166,12.790795048289011,10.582826987631252,40889,13391,40539,13741,10.0
D5,H12.13,D5H12.13,v_D5H12.13,a_D5H12.13,11.47657134245066,11.40740741,4.579523498415592,0.1058196925020812,0.37740790169465915,14.71249595654845,12.684082101260294,10.348124743243103,39713,14567,39400,14880,10.0
D5,H14.15,D5H14.15,v_D5H14.15,a_D5H14.15,10.961672943605356,10.91541126,4.420395140497217,0.1088517744942903,0.4235194789530817,14.31103102875388,12.193580598600748,9.876785392598983,41455,12825,41158,13122,10.0
D5,H16.18,D5H16.18,v_D5H16.18,a_D5H16.18,10.973268545697463,10.89286174,4.297009037197606,0.11114343229471606,0.42215413825839304,14.208025697440501,12.248901439905598,10.058992694176364,46348,7932,46102,8178,10.0
D5,H19.22,D5H19.22,v_D5H19.22,a_D5H19.22,11.615105474656387,11.56863771,4.54979787136365,0.11351799788969183,0.36243530670626517,15.822362129048033,13.219597315626341,10.424120426744064,45793,8487,45527,8753,10.0
D6,H0.6,D6H0.6,v_D6H0.6,a_D6H0.6,12.956958856247075,13.12183758,4.859827748712453,0.10711827217315836,0.25785707530813606,17.058729040983135,14.259742675325915,11.131309566853034,31723,22557,31399,22881,10.0
D6,H7.8,D6H7.8,v_D6H7.8,a_D6H7.8,13.316165094071993,13.5,4.93170539364144,0.11367639397773942,0.22874655447555492,16.716695194788922,14.015287192408234,11.705164510986721,27572,26708,27223,27057,10.0
D6,H9.11,D6H9.11,v_D6H9.11,a_D6H9.11,11.801006172488082,11.78291317,4.615410435637423,0.11366104448269342,0.34544547161291855,15.437552030549341,13.05094062614393,10.688279536258376,42079,12201,41776,12504,10.0
D6,H12.13,D6H12.13,v_D6H12.13,a_D6H12.13,11.36677933310116,11.260233209999999,4.569044804675014,0.10953393773926334,0.3888380162899417,14.808235421563536,12.646347238691257,10.249175246466413,41498,12782,41214,13066,10.0
D6,H14.15,D6H14.15,v_D6H14.15,a_D6H14.15,11.387647018993018,11.312191355,4.6036823251832555,0.11088185593015477,0.3872148084373655,14.959011238672264,12.785979968438925,10.21355613401041,41814,12466,41549,12731,10.0
D6,H16.18,D6H16.18,v_D6H16.18,a_D6H16.18,11.28804347322679,11.15126778,4.487617363519056,0.11088429578705503,0.3944040117156297,15.153145782759193,12.89017734377961,10.12253184059036,45068,9212,44805,9475,10.0
D6,H19.22,D6H19.22,v_D6H19.22,a_D6H19.22,11.610810328811008,11.56002716,4.564098143779234,0.11159004251788539,0.364935525324589,15.998100291252017,13.362418461570357,10.31474768001613,45134,9146,44869,9411,10.0
